# data file from generate.cpp
wavelengths,spectrum
2015.2000000000,0.9933249581
2015.4000000000,0.9925554287
2015.6000000000,0.9917154864
2015.8000000000,0.9908011086
2016.0000000000,0.9898083473
2016.2000000000,0.9887333738
2016.4000000000,0.9875725278
2016.6000000000,0.9863223693
2016.8000000000,0.9849797332
2017.0000000000,0.9835417864
2017.2000000000,0.9820060861
2017.4000000000,0.9803706393
2017.6000000000,0.9786339620
2017.8000000000,0.9767951385
2018.0000000000,0.9748538779
2018.2000000000,0.9728105687
2018.4000000000,0.9706663298
2018.6000000000,0.9684230562
2018.8000000000,0.9660834599
2019.0000000000,0.9636511032
2019.2000000000,0.9611304249
2019.4000000000,0.9585267577
2019.6000000000,0.9558463361
2019.8000000000,0.9530962942
2020.0000000000,0.9502846524
2020.2000000000,0.9474202932
2020.4000000000,0.9445129250
2020.6000000000,0.9415730338
2020.8000000000,0.9386118233
2021.0000000000,0.9356411428
2021.2000000000,0.9326734042
2021.4000000000,0.9297214870
2021.6000000000,0.9267986342
2021.8000000000,0.9239183378
2022.0000000000,0.9210942165
2022.2000000000,0.9183398865
2022.4000000000,0.9156688259
2022.6000000000,0.9130942361
2022.8000000000,0.9106289002
2023.0000000000,0.9082850415
2023.2000000000,0.9060741836
2023.4000000000,0.9040070137
2023.6000000000,0.9020932529
2023.8000000000,0.9003415338
2024.0000000000,0.8987592886
2024.2000000000,0.8973526499
2024.4000000000,0.8961263659
2024.6000000000,0.8950837318
2024.8000000000,0.8942265402
2025.0000000000,0.8935550500
2025.2000000000,0.8930679774
2025.4000000000,0.8927625080
2025.6000000000,0.8926343317
2025.8000000000,0.8926776995
2026.0000000000,0.8928855036
2026.2000000000,0.8932493772
2026.4000000000,0.8937598165
2026.6000000000,0.8944063196
2026.8000000000,0.8951775426
2027.0000000000,0.8960614692
2027.2000000000,0.8970455917
2027.4000000000,0.8981170993
2027.6000000000,0.8992630710
2027.8000000000,0.9004706687
2028.0000000000,0.9017273280
2028.2000000000,0.9030209416
2028.4000000000,0.9043400327
2028.6000000000,0.9056739147
2028.8000000000,0.9070128339
2029.0000000000,0.9083480930
2029.2000000000,0.9096721522
2029.4000000000,0.9109787072
2029.6000000000,0.9122627416
2029.8000000000,0.9135205546
2030.0000000000,0.9147497617
2030.2000000000,0.9159492714
2030.4000000000,0.9171192364
2030.6000000000,0.9182609833
2030.8000000000,0.9193769203
2031.0000000000,0.9204704277
2031.2000000000,0.9215457325
2031.4000000000,0.9226077700
2031.6000000000,0.9236620370
2031.8000000000,0.9247144383
2032.0000000000,0.9257711307
2032.2000000000,0.9268383676
2032.4000000000,0.9279223476
2032.6000000000,0.9290290681
2032.8000000000,0.9301641903
2033.0000000000,0.9313329133
2033.2000000000,0.9325398629
2033.4000000000,0.9337889952
2033.6000000000,0.9350835154
2033.8000000000,0.9364258143
2034.0000000000,0.9378174217
2034.2000000000,0.9392589770
2034.4000000000,0.9407502166
2034.6000000000,0.9422899777
2034.8000000000,0.9438762175
2035.0000000000,0.9455060462
2035.2000000000,0.9471757727
2035.4000000000,0.9488809620
2035.6000000000,0.9506165013
2035.8000000000,0.9523766742
2036.0000000000,0.9541552409
2036.2000000000,0.9559455223
2036.4000000000,0.9577404869
2036.6000000000,0.9595328378
2036.8000000000,0.9613150997
2037.0000000000,0.9630797033
2037.2000000000,0.9648190662
2037.4000000000,0.9665256696
2037.6000000000,0.9681921294
2037.8000000000,0.9698112616
2038.0000000000,0.9713761401
2038.2000000000,0.9728801493
2038.4000000000,0.9743170280
2038.6000000000,0.9756809071
2038.8000000000,0.9769663408
2039.0000000000,0.9781683307
2039.2000000000,0.9792823441
2039.4000000000,0.9803043274
2039.6000000000,0.9812307136
2039.8000000000,0.9820584268
2040.0000000000,0.9827848828
2040.2000000000,0.9834079866
2040.4000000000,0.9839261285
2040.6000000000,0.9843381785
2040.8000000000,0.9846434800
2041.0000000000,0.9848418431
2041.2000000000,0.9849335385
2041.4000000000,0.9849192909
2041.6000000000,0.9848002744
2041.8000000000,0.9845781076
2042.0000000000,0.9842548503
2042.2000000000,0.9838330005
2042.4000000000,0.9833154918
2042.6000000000,0.9827056917
2042.8000000000,0.9820073989
2043.0000000000,0.9812248407
